species_details,,,,,recorded_present,,,,,status,,,,,,,,,,population_trends,,,,,,,,,photoperiod,,,larval_habitat,pupal_habit,,,,,,,,wingless_reduced_wing_females,morphological_characteristics,,,voltinism,,,,egg_stage,,,,,,,,,,,,larval_stage,,,,,,,,,,,,,pupal_stage,,,,,,,,,,,,,adult_stage,,,,,,,,,,,,overwintering_stage,,,,host_plant_specificity,,,,,ellenberg_traits,,,,,broad_host_plant_category,,,,,,,,,,,,,,,,,,host_plant_section,,,,,,,,common_hostplants,,,,,,,,,,,,,,,,,,,,habitat,,,,,,,,,,,,,,,,,,,,
abh_number,b&f_number,scientific_name ,common_name ,family,england ,scotland ,wales ,northern_ireland,republic_of_ireland,reintroduced,immigrant ,resident,extinct_gb ,extinct_i,red_list_gb ,red_list_ireland,gb_10_km_squares_(2000-2016),ireland_10_km_squares_(2000-2016),rarirty_gb,long_term_distribution_trend_gb,sig_long_term_distribution_trend_gb,range_long_term_distribution_trend_gb,short_term_distribution_trend_gb,sig_short_term_distribution_trend_gb,range_short_term_distribution_trend_gb,abundance_trend_gb,sig_abundance_trend_gb,range_abundance_trend_gb ,diurnal ,nocturnal ,easily_disturbed_by_day,communal_or_nest,below_ground,leaf_litter_moss_on_ground_soil_surface,hostplant_external,hostplant_internal_stem,hostplant_internal_root,other_vegetation_external,stone_inc_walls,dead_rotten_wood ,wingless_reduced_wing_female,forewing_minimum,forewing_maximum,estimated_dry_mass,obligate_univoltine,obligate_multivoltine,partial_generation,phenology_shift,egg_jan,egg_feb,egg_mar,egg_apr,egg_may,egg_jun,egg_jul,egg_aug,egg_sep,egg_oct,egg_nov,egg_dec,lar_jan,lar_feb,lar_mar,lar_apr,lar_may,lar_jun,lar_july,lar_aug,lar_sep,lar_oct,lar_nov,lar_dec,lar_multiple,pup_jan,pup_feb,pup_mar,pup_apr,pup_may,pup_jun,pup_jul,pup_aug,pup_sep,pup_oct,pup_nov,pup_dec,pup_multiple,ad_jan,ad_feb,ad_mar,ad_apr,ad_may,ad_jun,ad_jul,ad_agu,ad_sep,ad_oct,ad_nov,ad_dec,egg,larva,pupa,adult,specificity ,number_hostplants,hostplant_or_hostplant_category,hostplant_or_hostplant_category_scientific,hostplant_native_or_non-native,light_value,moisture_value,reaction,nitrogen,salt_tolerance,sedges,rushes,grasses ,forbs,ferns,broadleaf_trees,coniferous_trees,shrubs_dwarf_shrubs,mosses,lichens_algae,fungi,slime_moulds,detritus,aquatic_plants,dead_withered_leaves,live_dead_invertebrates_meat,galls,stored_goods,roots,stem_shoot,trunk_branches,seeds_berries_fruits,flowers_flower_buds_catkins,leaves_leaf_buds_fronds_external,leaves_internal_mines,other,willow Salix spp,birches Betula spp,Blackthorn (Prunus spinosa),oaks Quercus spp,Hawthorn Crataegus monogyna,docks Rumex spp,Hazel Corylus avellana,Heather Calluna vulgaris,grasses ,Bramble Rubus fruticosus,Bilberry Vaccinium myrtillus,Alder Alnus glutinosa,Pedunculate Oak Quercus robur,Aspen Populus tremula,elms Ulmus spp.,dandelions Taraxacum spp., Downy Birch Betula pubescens,hawthorns Crataegus spp.,Beech Fagus sylvatica,Honeysuckle Lonicera periclymenum,1. Woodland,1a_broadleaved_woodland,1b_coniferious_woodland,1c_scrub_and_hedgerows,1d_wet_woodland_alder_willow_carr,2_heathland,3_moorland,4_grassland,4a_calcareou_grassland,4b_wet_grassland,4c_acid_grassland,5_wetlands,5a_bog_mosses_mires,5b_fens_and_marshes,5c_reedbeds,6a_sand_dunes,6b_saltmarsh,6c_rocky_coast,6d_coastal_shingle,7_montane_upland,8_other
52.013,373,Synanthedon tipuliformis,Currant Clearwing,Sesiidae,1,1,1,1,1,,,1,,,LC,LC,294,5,,,,,,,,,,,1,,,,,,,1,,,,,,8,10,5.5,1,,,,,,,,,1,1,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,1,,,Oligophagous (Genus),3,, ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,cut stumps,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Fruit Farms
52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Sesiidae,1,,1,,,,,1,,,LC,  ,350,0,,,,,10%,N,2000 - 2016,,,,1,,,,,,,,1,,,,,9,12,8.8,1,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,1,,,Oligophagous (Family),3,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Sesiidae,1,,,,,,,1,,,EN,  ,11,0,Nationally Rare,,,,,,,,,,1,,,,,,,,1,,,,,9,12,8.8,1,,,,,,,,,,1,,,,,,1,1,1,1,1,2,2,1,1,1,1,1,2,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,
52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Sesiidae,1,1,1,,1,,,1,,,LC,CR,102,2,Nationally Scarce,,,,,,,,,,1,,,,,,,1,,,,,,6,8,2.5,1,,,,,,,,,,1,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Monophagous,1,Thrift Armeria maritima,Armeria maritima,1,8,7,5,5,3,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
53.001,173,Apoda limacodes,Festoon,Limacodidae,1,,1,,,,,1,,,LC,  ,199,0,,160%,Y,1990 - 2016,96%,Y,2000 - 2016,,,,1,1,,,,1,,,,,,,,10,13,11.6,1,,,-0.7,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,1c,,,Monophagous,1,Pedunculate Oak Quercus robur,Quercus robur,1,7,5,5,4,0,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,
53.002,174,Heterogenea asella,Triangle,Limacodidae,1,,,,,,,1,,,LC,  ,44,0,Nationally Scarce,,,,,,,,,,1,1,,,,1,1,,,,,,,5,11,3.8,1,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,1c,,,Oligophagous (Family),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
54.001,165,Jordanita globulariae,Scarce Forester,Zygaenidae,1,,,,,,,1,,,NT,  ,9,0,Nationally Rare,,,,,,,,,,1,,,,1,1,,,,,,,,10,15,14.9,1,,,,,,,,,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
54.002,163,Adscita statices,Forester,Zygaenidae,1,1,1,1,1,,,1,,,LC,EN,195,28,,,,,87%,N,2000 - 2016,,,,1,,,,,1,,,,1,,,,11,15,16.8,1,,,-3.1,,,,,,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,1,1,1,,,,,1,1,,1,,,,,1,,,,3,
54.003,164,Adscita geryon,Cistus Forester,Zygaenidae,1,,1,,,,,1,,,LC,  ,62,0,Nationally Scarce,,,,19%,N,2000 - 2016,,,,1,,,,,1,,,,1,,,,9,12,8.8,1,,,,,,,,,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Monophagous,1,Common Rock-rose Helianthemum nummularium,Helianthemum nummularium,1,7,4,7,2,0,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
54.004,172,Zygaena purpuralis,Transparent Burnet,Zygaenidae,,1,1,,1,,,1,,,LC,LC,22,23,Nationally Scarce,,,,,,,,,,1,,,,,1,,,,1,1,,,14,16,26.1,1,,,,,,,,,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,,,Monophagous,1,Wild Thyme Thymus drucei,Thymus drucei,1,8,2,5,2,0,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,
